,Symbol,Scientific Name,Common Name
1830,BEPU2,Berlandiera pumila (Michx.) Nutt.,soft greeneyes
1831,BESU,Berlandiera subacaulis (Nutt.) Nutt.,Florida greeneyes
1832,BEIN2,Berteroa incana (L.) DC.,hoary alyssum
1833,BEER,Berula erecta (Huds.) Coville,cutleaf waterparsnip
1834,BEBU,Besseya bullii (Eaton) Rydb.,Bull's coraldrops
1835,BERU,Besseya rubra (Douglas ex Hook.) Rydb.,red besseya
1836,BEVU2,Beta vulgaris L.,common beet
1837,BETUL,Betula,birch
1838,BEAL2,Betula alleghaniensis Britton,yellow birch
1839,BEALA,Betula alleghaniensis Britton var. alleghaniensis,yellow birch
1840,BELU,Betula alleghaniensis Britton var. fallax (Fassett) Brayshaw,N/A
1841,BECAC,Betula ×caerulea Blanch. var. caerulea,blue birch
1842,BEGL,Betula glandulosa Michx.,resin birch
1843,BELE,Betula lenta L.,sweet birch
1844,BENA,Betula nana L.,dwarf birch
1845,BENI,Betula nigra L.,river birch
1846,BEOC2,Betula occidentalis Hook.,water birch
1847,BEFO2,Betula beeniana A. Nelson,N/A
1848,BEPA,Betula papyrifera Marsh.,paper birch
1849,BEPAP,Betula papyrifera Marsh. var. papyrifera,paper birch
1850,BEPE3,Betula pendula Roth,European white birch
1851,BEPO,Betula populifolia Marsh.,gray birch
1852,BEPUP5,Betula pubescens Ehrh. ssp. pubescens,downy birch
1853,BEPU4,Betula pumila L.,bog birch
1854,BESA,Betula ×sandbergii Britton [papyrifera × pumila], 
1855,BEUB,Betula uber (Ashe) Fernald,Virginia roundleaf birch
1856,BIDEN,Bidens,beggarticks
1857,BIAL,Bidens alba (L.) DC.,romerillo
1858,BIALR,Bidens alba (L.) DC. var. radiata (Sch. Bip.) Ballard ex T.E. Melchert,romerillo
1859,BIAR,Bidens aristosa (Michx.) Britton,bearded beggarticks
1860,BIIN2,Bidens aristosa (Michx.) Britton var. fritcheyi Fernald,N/A
1861,BIPO,Bidens aristosa (Michx.) Britton var. fritcheyi Fernald,N/A
1862,BIBE2,Bidens beckii Torr. ex Spreng.,Beck's water-marigold
1863,BIBI3,Bidens bidentoides (Nutt.) Britton,Delmarva beggarticks
1864,BIBI,Bidens bigelovii A. Gray,Bigelow's beggarticks
1865,BIBI7,Bidens bipinnata L.,Spanish needles
1866,BICE,Bidens cernua L.,nodding beggartick
1867,BICO5,Bidens connata Muhl. ex Willd.,purplestem beggarticks
1868,BICO,Bidens coronata (L.) Britton,crowned beggarticks
1869,BITR2,Bidens coronata (L.) Britton var. brachyodonta Fernald,N/A
1870,BIDI,Bidens discoidea (Torr. & A. Gray) Britton,small beggarticks
1871,BIFR,Bidens frondosa L.,devil's beggartick
1872,BILA,"Bidens laevis (L.) Britton, Sterns & Poggenb.",smooth beggartick
1873,BILE,Bidens leptocephala Sherff,fewflower beggarticks
1874,BIMI,Bidens mitis (Michx.) Sherff,smallfruit beggarticks
1875,BIPI,Bidens pilosa L.,hairy beggarticks
1876,BIRE,Bidens reptans (L.) G. Don,manzanilla trepador
1877,BITE,Bidens tenuisecta A. Gray,slimlobe beggarticks
1878,BITR,Bidens tripartita L.,threelobe beggarticks
1879,BICO3,Bidens acuta (Wiegand) Britton,N/A
1880,BIVU,Bidens vulgata Greene,big devils beggartick
1881,BIRA,Bifora radians Bieb.,wild bishop
1882,BINUN,Bigelowia nudata (Michx.) DC. ssp. nudata,pineland rayless goldenrod
1883,CHNU6,Chondrophora nudata (Michx.) Britton,N/A
1884,BINU2,Bigelowia nuttallii L.C. Anderson,Nuttall's rayless goldenrod
1885,BIGNO,Bignonia,bignonia
1886,BICA,Bignonia capreolata L.,crossvine
1887,ANCA21,Anisostichus capreolata (L.) Bureau,N/A
1888,BIJA,Bischofia javanica Blume,Javanese bishopwood
1889,BIBI4,Bituminaria bituminosa (L.) Stirt.,Arabian pea
1890,PSBI,Aspalthium bituminosum (L.) Kuntze,N/A
1891,BIOR,Bixa orellana L.,lipsticktree
1892,BLECH,Blechnum,midsorus fern
1893,BLCH3,Blechnum chordatum (Desv.) Hieron.,Chilean hard fern
1894,BLSP,Blechnum spicant (L.) Sm.,deer fern
1895,BLBA,Blennosperma bakeri Heiser,Baker's stickyseed
1896,BLNA,Blennosperma nanum (Hook.) S.F. Blake,common stickyseed
1897,BLBI,Blepharidachne bigelovii (S. Watson) Hack.,Bigelow's desertgrass
1898,BLKI,Blepharidachne kingii (S. Watson) Hack.,King's eyelashgrass
1899,BLSC,Blepharipappus scaber Hook.,rough eyelashweed
1900,BLTR,Blepharoneuron tricholepis (Torr.) Nash,pine dropseed
1901,BLTR2,Blepharostoma trichophyllum (L.) Dumort., 
1902,BLCI,Blephilia ciliata (L.) Benth.,downy pagoda-plant
1903,BLHI,Blephilia hirsuta (Pursh) Benth.,hairy pagoda-plant
1904,BLSA2,Blighia sapida K.D. Koenig,akee
1905,BLAC70,Blindia acuta (Hedw.) Bruch & Schimp.,acute blindia moss
1906,BLCR,Bloomeria crocea (Torr.) Coville,common goldenstar
1907,BLCRC,Bloomeria crocea (Torr.) Coville var. crocea,common goldenstar
1908,BLHU,Bloomeria humilis Hoover,dwarf goldenstar
1909,BLRU,Blysmus rufus (Huds.) Link,red bulrush
1910,BOFR2,Bocconia frutescens L.,parrotweed
1911,BOCY,Boehmeria cylindrica (L.) Sw.,smallspike false nettle
1912,BOCO,Boerhavia coccinea P. Mill.,scarlet spiderling
1913,BOER,Boerhavia erecta L.,erect spiderling
1914,BOSC,Boerhavia scandens L.,climbing wartclub
1915,BOSP,Boerhavia spicata Choisy,creeping spiderling
1916,BOAS,Boltonia asteroides (L.) L'Hér.,white doll's daisy
1917,BOASL,Boltonia asteroides (L.) L'Hér. var. latisquama (A. Gray) Cronquist,white doll's daisy
1918,BODE2,Boltonia decurrens (Torr. & A. Gray) Alph. Wood,claspingleaf doll's daisy
1919,BODI,Boltonia diffusa Elliot,smallhead doll's daisy
1920,BOMAR,Bomarea,bomarea
1921,BOCE2,Bombax ceiba L.,red silk cottontree
1922,BOHI,Bommeria hispida (Mett. ex Kuhn) Underw.,copper fern
1923,BODA,Bontia daphnoides L.,white alling
1924,BOOF,Borago officinalis L.,common borage
1925,BOFL2,Borassus flabellifer L. [excluded],toddy palm
1926,BOFU,Borinda fungosa (T.P. Yi) C.M.A. Stapleton,Himalayan foothill borinda
1927,BOAR2,Borrichia arborescens (L.) DC.,tree seaside tansy
1928,BOFR,Borrichia frutescens (L.) DC.,bushy seaside tansy
1929,BORZI,Borzicactus,borzicactus
1930,BOHO,Boschniakia hookeri Walp.,Vancouver groundcone
1931,BOST2,Boschniakia strobilacea A. Gray,California groundcone
1932,BOTHR,Bothriochloa,beardgrass
1933,BOAL3,Bothriochloa alta (Hitchc.) Henr.,tall beardgrass
1934,BOBA3,Bothriochloa barbinodis (Lag.) Herter,cane bluestem
1935,ANBA6,Andropogon barbinodis Lag.,N/A
1936,ANPE14,Andropogon barbinodis Lag.,N/A
1937,BOBL,Bothriochloa bladhii (Retz.) S.T. Blake,Caucasian bluestem
1938,ANIN7,Andropogon bladhii Retz.,N/A
1939,BOIN80,Andropogon bladhii Retz.,N/A
1940,BOED,Bothriochloa edwardsiana (Gould) Parodi,Edwards Plateau beardgrass
1941,BOEX,Bothriochloa exaristata (Nash) Henr.,awnless beardgrass
1942,BOHA,Andropogon exaristatus (Nash) Hitchc.,N/A
1943,BOHY,Bothriochloa hybrida (Gould) Gould,hybrid beardgrass
1944,BOIN6,Bothriochloa insculpta (Hochst.) A. Camus [excluded],sweetpitted grass
1945,BOIS,Bothriochloa ischaemum (L.) Keng,yellow bluestem
1946,BOLA2,Bothriochloa laguroides (DC.) Herter,silver beardgrass
1947,BOLAT,Bothriochloa laguroides (DC.) Herter ssp. torreyana (Steud.) Allred & Gould,silver beardgrass
1948,BOLO,Bothriochloa longipaniculata (Gould) Allred & Gould,longspike beardgrass
1949,BOPE2,Bothriochloa pertusa (L.) A. Camus,pitted beardgrass
1950,BOSA,Bothriochloa saccharoides (Sw.) Rydb.,silver bluestem
1951,AMSA3,Amphilophis saccharoides (Sw.) Nash,N/A
1952,ANSA5,Amphilophis saccharoides (Sw.) Nash,N/A
1953,BOWR2,Bothriochloa wrightii (Hack.) Henr.,Wright's beardgrass
1954,BOTRY,Botrychium,grapefern
1955,BODI2,Botrychium dissectum Spreng.,cutleaf grapefern
1956,BOOB,Botrychium dissectum Spreng. var. obliquum (Muhl. ex Willd.) Clute,N/A
1957,BOEC,Botrychium echo W.H. Wagner,reflected grapefern
1958,BOLA,Botrychium lanceolatum (S.G. Gmel.) Angstr.,lanceleaf grapefern
1959,BOLU,Botrychium lunaria (L.) Sw.,common moonwort
1960,BOON2,Botrychium lunaria (L.) Sw. var. onondagense (Underw.) House,N/A
1961,BOMA2,Botrychium matricariifolium (A. Braun ex Dowell) A. Braun ex W.D.J. Koch,matricary grapefern
1962,BOMI,Botrychium minganense Victorin,Mingan moonwort
1963,BOMU,Botrychium multifidum (S.G. Gmel.) Trevis.,leathery grapefern
1964,BOMA6,Botrychium californicum Underw.,N/A
1965,BOSI3,Botrychium californicum Underw.,N/A
1966,BOPI,Botrychium pinnatum H. St. John,northern moonwort
1967,BOSI,Botrychium simplex E. Hitchc.,little grapefern
1968,BOTE10,Botrychium simplex E. Hitchc. var. laxifolium (R.T. Clausen) Fernald,N/A
1969,BOTU3,Botrychium tunux Stensvold & Farrar, 
1970,BOVI,Botrychium virginianum (L.) Sw.,rattlesnake fern
1971,BOYA,Botrychium yaaxudakeit Stensvold & Farrar, 
1972,BOUGA,Bougainvillea,bougainvillea
1973,BOGL4,Bougainvillea glabra Choisy,paperflower
1974,BOSP6,Bougainvillea spectabilis Willd.,great bougainvillea
1975,BOSU2,Bourreria succulenta Jacq.,bodywood
1976,BOOV,Bourreria domingensis auct. non (DC.) Griseb.,N/A
1977,BOAR,Bouteloua aristidoides (Kunth) Griseb.,needle grama
1978,BOBA2,Bouteloua barbata Lag.,sixweeks grama
1979,BOBR,Bouteloua breviseta Vasey,gypsum grama
1980,BOCH,Bouteloua chondrosioides (Kunth) Benth. ex S. Watson,sprucetop grama
1981,BOCU,Bouteloua curtipendula (Michx.) Torr.,sideoats grama
1982,BOCUC2,Bouteloua curtipendula (Michx.) Torr. var. curtipendula,sideoats grama
1983,BODA2,Bouteloua dactyloides (Nutt.) J.T. Columbus,buffalograss
1984,BUDA,Buchloe dactyloides (Nutt.) Engelm.,N/A
1985,BUDA3,Buchloe dactyloides (Nutt.) Engelm.,N/A
1986,BODI6,Bouteloua dimorpha J.T. Columbus,Acapulco grass
1987,BOEL,Bouteloua eludens Griffiths,Santa Rita Mountain grama
1988,BOER4,Bouteloua eriopoda (Torr.) Torr.,black grama
1989,BOGR2,Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,blue grama
1990,BOOL,Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths var. stricta (Vasey) Hitchc.,N/A
1991,BOHI2,Bouteloua hirsuta Lag.,hairy grama
1992,BOHIH,Bouteloua hirsuta Lag. var. hirsuta,hairy grama
1993,BOPA2,Bouteloua parryi (Fourn.) Griffiths,Parry's grama
1994,BORA,Bouteloua radicosa (Fourn.) Griffiths,purple grama
1995,BORE2,Bouteloua repens (Kunth) Scribn. & Merr.,slender grama
1996,BOHE4,Bouteloua filiformis (Fourn.) Griffiths,N/A
1997,BORI,Bouteloua rigidiseta (Steud.) Hitchc.,Texas grama
1998,BORO2,Bouteloua rothrockii Vasey,Rothrock's grama
1999,BOSI2,Bouteloua simplex Lag.,matted grama
2000,BOTR2,Bouteloua trifida Thurb.,red grama
2001,BOUN,Bouteloua uniflora Vasey,oneflower grama
2002,BOWA,Bouteloua warnockii Gould & Kapadia,Warnock's grama
2003,BOTE2,Bouvardia ternifolia (Cav.) Schltdl.,firecrackerbush
2004,BOIN3,Bowlesia incana Ruiz & Pav.,hoary bowlesia
2005,BOAC,Boykinia aconitifolia Nutt.,Allegheny brookfoam
2006,BRER,Brachiaria eruciformis (Sm.) Griseb.,sweet signalgrass
2007,BRAC7,Brachychiton acerifolius (A. Cunn. ex G. Don) Macarthur,flame bottletree
2008,BRTR4,Brachydontium trichodes (F. Weber) Milde,brachydontium moss
2009,BRER2,Brachyelytrum erectum (Schreb. ex Spreng.) P. Beauv.,bearded shorthusk
2010,BRACH3,Brachypodium,false brome
2011,BRDI2,Brachypodium distachyon (L.) P. Beauv.,purple false brome
2012,BRPH3,Brachypodium phoenicoides (L.) Roem. & Schult.,thinleaf false brome
2013,BRPI,Brachypodium pinnatum (L.) P. Beauv.,heath false brome
2014,BRSY,Brachypodium sylvaticum (Huds.) P. Beauv.,slender false brome
2015,BRGL2,Brachythecium glaciale Schimp.,glacier brachythecium moss
2016,BRNE4,Brachythecium nelsonii Grout,Nelson's brachythecium moss
2017,BRPL5,Brachythecium plumosum (Hedw.) Schimp.,brachythecium moss
2018,BRPO4,Brachythecium populeum (Hedw.) Schimp.,brachythecium moss
2019,BRRE7,Brachythecium reflexum (Starke) Schimp.,brachythecium moss
2020,BRRI5,Brachythecium rivulare Schimp.,brachythecium moss
2021,BRRU5,Brachythecium rutabulum (Hedw.) Schimp.,brachythecium moss
2022,BRSA7,Brachythecium salebrosum (F. Weber & D. Mohr) Schimp.,brachythecium moss
2023,BRST4,Brachythecium starkei (Brid.) Schimp.,Starke's brachythecium moss
2024,BRTR5,Brachythecium trachypodium (Brid.) Schimp.,brachythecium moss
2025,BRVE7,Brachythecium velutinum (Hedw.) Schimp.,brachythecium moss
2026,BRBR15,Bracteantha bracteata (Vent.) Anderb. & Heagi,bracted strawflower
2027,BRSC,Brasenia schreberi J.F. Gmel.,watershield
2028,BRBR6,Brasiliopuntia brasiliensis (Willd.) A. Berger,Brazilian pricklypear
2029,BRASS4,Brassia,brassia
2030,BRGI3,Brassia gireoudiana Rchb. F. & Warsz., 
2031,BRASS2,Brassica,mustard
2032,BRJU,Brassica juncea (L.) Czern.,India mustard
2033,BRNI,Brassica nigra (L.) W.D.J. Koch,black mustard
2034,BRRA,Brassica rapa L.,field mustard
2035,BRRAR,Brassica rapa L. var. rapa,field mustard
2036,BRTO,Brassica tournefortii Gouan,Asian mustard
2037,BRCA3,Brickellia californica (Torr. & A. Gray) A. Gray,California brickellbush
2038,BRDE3,Brickellia desertorum Coville,desert brickellbush
2039,BREUC,Brickellia eupatorioides (L.) Shinners var. corymbulosa (Torr. & A. Gray) Shinners,false boneset
2040,BREUE,Brickellia eupatorioides (L.) Shinners var. eupatorioides,false boneset
2041,KUEU,"Brickellia rosemarinifolia (Vent.) W.A. Weber, orth. var.",N/A
2042,KUGL,"Brickellia rosemarinifolia (Vent.) W.A. Weber, orth. var.",N/A
2043,BRGR,Brickellia grandiflora (Hook.) Nutt.,tasselflower brickellbush
2044,COGR14,Brickellia grandiflora (Hook.) Nutt. var. petiolaris A. Gray,N/A
2045,BRLA,Brickellia laciniata A. Gray,splitleaf brickellbush
2046,BRLE,Brickellia lemmonii A. Gray,Lemmon's brickellbush
2047,BROBL,Brickellia oblongifolia Nutt. var. linifolia (D.C. Eaton) B.L. Rob.,narrowleaf brickellbush
2048,BRRU,Brickellia rusbyi A. Gray,stinking brickellbush
2049,BRIN4,Brighamia insignis A. Gray,cabbage on a stick
2050,BRIZA,Briza,quakinggrass
2051,BRHU4,Briza humilis M. Bieb.,quakinggrass
2052,BRMA,Briza maxima L.,big quakinggrass
2053,BRME,Briza media L.,perennial quakinggrass
2054,BRMI2,Briza minor L.,little quakinggrass
2055,BRODI,Brodiaea,brodiaea
2056,BRCO3,Brodiaea coronaria (Salisb.) Engl.,crown brodiaea
2057,BREL,Brodiaea elegans Hoover,harvest brodiaea
2058,BRFI,Brodiaea filifolia S. Watson,threadleaf brodiaea
2059,BRJO,Brodiaea jolonensis Eastw.,chaparral brodiaea
2060,BRMI3,Brodiaea minor (Benth.) S. Watson,vernalpool brodiaea
2061,BRPA2,Brodiaea pallida Hoover,Chinese Camp brodiaea
2062,BRTEK,Brodiaea terrestris Kellogg ssp. kernensis (Hoover) Niehaus,Kern brodiaea
2063,BRTET,Brodiaea terrestris Kellogg ssp. terrestris,dwarf brodiaea
2064,BRCOM,Brodiaea coronaria (Salisb.) Engl. var. macropoda (Torr.) Hoover,N/A
2065,BRPI4,Bromelia pinguin L.,pinguin
2066,BROMU,Bromus,brome
2067,BRAL6,Bromus aleutensis Trin. ex Griseb.,Aleutian brome
2068,BRAN,Bromus anomalus Rupr. ex Fourn.,nodding brome
2069,BRAR3,Bromus arenarius Labill.,Australian brome
2070,BRAR5,Bromus arvensis L.,field brome
2071,BRJA,Bromus anatolicus Boiss. & Heldr.,N/A
2072,BRPA10,Bromus anatolicus Boiss. & Heldr.,N/A
2073,BRBE6,Bromus berteroanus Colla,Chilean chess
2074,BRBR5,Bromus briziformis Fisch. & C.A. Mey.,rattlesnake brome
2075,BRBR7,"Bromus brizaeformis Fisch. & C.A. Mey., orth. var.",N/A
2076,BRCA5,Bromus carinatus Hook. & Arn.,California brome
2077,BRCA6,Bromus catharticus Vahl,rescuegrass
2078,BRBR81,Bromus brevis Nees ex Steud.,N/A
2079,BRUN,Bromus brevis Nees ex Steud.,N/A
2080,BRCI2,Bromus ciliatus L.,fringed brome
2081,BRCIC3,Bromus ciliatus L. var. ciliatus,fringed brome
2082,BRDIR,Bromus diandrus Roth ssp. rigidus (Roth) Lainz,ripgut brome
2083,BRER3,Bromus erectus Huds.,erect brome
2084,BRFR2,Bromus frondosus (Shear) Woot. & Standl.,weeping brome
2085,BRGR4,Bromus grandis (Shear) Hitchc.,tall brome
2086,BRHO2,Bromus hordeaceus L.,soft brome
2087,BRHOD,Bromus hordeaceus L. ssp. divaricatus (Bonnier & Layens) Kerguélen,soft brome
2088,BRHOH,Bromus hordeaceus L. ssp. hordeaceus,soft brome
2089,BRIN2,Bromus inermis Leyss.,smooth brome
2090,BRINP5,Bromus inermis Leyss. ssp. pumpellianus (Scribn.) Wagnon var. pumpellianus (Scribn.) C.L. Hitchc.,Pumpelly's brome
2091,BRKA2,Bromus kalmii A. Gray,arctic brome
2092,BRPU4,Bromopsis kalmii (A. Gray) Holub,N/A
2093,BRLA3,Bromus laevipes Shear,Chinook brome
2094,BRLA4,Bromus latiglumis (Shear) Hitchc.,earlyleaf brome
2095,BRMA3,Bromus madritensis L.,compact brome
2096,BRMA4,Bromus marginatus Nees ex Steud.,mountain brome
2097,BRBR4,Bromus breviaristatus Buckley,N/A
2098,BRNO,Bromus nottowayanus Fernald,Nottoway Valley brome
2099,BROR2,Bromus orcuttianus Vasey,Orcutt's brome
2100,BRPA3,Bromus pacificus Shear,Pacific brome
2101,BRPO,Bromus polyanthus Scribn. ex Shear,Great Basin brome
2102,BRPO2,Bromus porteri (J.M. Coult.) Nash,Porter brome
2103,BRRA2,Bromus racemosus L.,bald brome
2104,BRCO4,Bromus commutatus Schrad.,N/A
2105,BRRA3,Bromus ramosus Huds.,hairy brome
2106,BRAS,Bromus asper Murray,N/A
2107,BRRU2,Bromus rubens L.,red brome
2108,BRSC3,Bromus scoparius L.,broom brome
2109,BRSE,Bromus secalinus L.,rye brome
2110,BRSI,Bromus sitchensis Trin.,Alaska brome
2111,BRSQ2,Bromus squarrosus L.,corn brome
2112,BRST3,Bromus stamineus Desv.,roadside brome
2113,BRST2,Bromus sterilis L.,poverty brome
2114,BRSU2,Bromus suksdorfii Vasey,Suksdorf's brome
2115,BRTE,Bromus tectorum L.,cheatgrass
2116,BRTE2,Bromus texensis (Shear) Hitchc.,Texas brome
2117,BRVU,Bromus vulgaris (Hook.) Shear,Columbia brome
2118,BRMI4,Brongniartia minutifolia S. Watson,littleleaf greentwig
2119,BRAR6,Broussaisia arguta Gaudich.,kanawao
2120,BRPA4,Broussonetia papyrifera (L.) L'Hér. ex Vent.,paper mulberry
2121,PAPA32,Morus papyrifera L.,N/A
2122,BRVO2,Bruchia vogesiaca Nestl. ex Schwägr.,bruchia moss
2123,BRCA31,Brugmansia ×candida Pers. (pro sp.) [aurea × versicolor],angel's-trumpet
2124,BRSA3,Brugmansia sanguinea (Ruiz & Pav.) D. Don,red floripontio
2125,DASA3,Datura sanguinea Ruiz & Pav.,N/A
2126,BRSU3,Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & C. Presl,angel's-tears
2127,BRUGU,Bruguiera,bruguiera
2128,BRSE11,Bruguiera sexangula (Lour.) Poir.,Oriental mangrove
2129,BRCO6,Brunellia comocladiifolia Humb. & Bonpl.,West Indian sumac
2130,BRUNF2,Brunfelsia,raintree
2131,BRPA17,Brunfelsia pauciflora (Cham. & Schltdl.) Benth., 
2132,BROV4,Brunnichia ovata (Walter) Shinners,American buckwheat vine
2133,BRCI3,Brunnichia cirrhosa Gaertn.,N/A
2134,BREB,Brya ebenus (L.) DC.,ebony coccuswood
2135,BRAL4,Bryonia alba L.,white bryony
2136,BRAL12,Bryum algovicum Sendtn. ex Müll. Hal.,bryum moss
2137,BRAL9,Bryum alpinum Huds. ex With.,alpine bryum moss
2138,BRAM70,Bryum amblyodon Müll. Hal.,bryum moss
2139,BRAR70,Bryum arcticum (R. Br.) Bruch & Schimp.,arctic bryum moss
2140,BRAR71,Bryum argenteum Hedw.,silvergreen bryum moss
2141,BRARL,Bryum argenteum Hedw. var. lanatum (P. Beauv.) Hampe,N/A
2142,BRBO3,Bryum bornholmense Winkelm. & Ruthe,Bornholm's bryum moss
2143,BRCA71,Bryum caespiticium Hedw.,dry calcareous bryum moss
2144,BRCA25,Bryum capillare Hedw.,bryum moss
2145,BRCAC4,Bryum capillare Hedw. var. capillare,bryum moss
2146,BRTO3,Bryum capillare Hedw. var. torquescens (Bruch ex De Not.) Husn.,N/A
2147,BRCY70,Bryum cyclophyllum (Schwägr.) Bruch & Schimp.,bryum moss
2148,BRDI12,Bryum dichotomum Hedw.,bryum moss
2149,BRGE3,Bryum gemmilucens Wilcz. & Dem.,bryum moss
2150,BRKN2,Bryum knowltonii Barnes,Knowlton's bryum moss
2151,BRMU6,Bryum muehlenbeckii Bruch & Schimp.,Muehlenbeck's bryum moss
2152,BRPA70,Bryum pallens (Brid.) Sw.,bryum moss
2153,BRPA14,Bryum pallescens Schleich. ex Schwägr.,bryum moss
2154,BRPS70,"Bryum pseudotriquetrum (Hedw.) G. Gaertn., B. Mey. & Scherb.",common green bryum moss
2155,BRNE5,Bryum bimum (Brid.) Turner,N/A
2156,BRRA6,Bryum radiculosum Brid.,bryum moss
2157,BRRU6,Bryum rubens Mitt.,bryum moss
2158,BRSC7,Bryum schleicheri Schwägr.,Schleicher's bryum moss
2159,BRSU9,Bryum subapiculatum Hampe,bryum moss
2160,BRTU2,Bryum turbinatum (Hedw.) Turner,bryum moss
2161,BRWA2,Bryum warneum (Röhl.) Bland. ex Brid.,bryum moss
2162,BRWE70,Bryum weigelii Spreng.,Weigel's bryum moss
2163,BULA8,Buchanania latifolia Roxb.,chirauli nut
2164,BUTE4,Buchenavia tetraphylla (Aubl.) Howard,fourleaf buchenavia
2165,BUAM,Buchnera americana L.,American bluehearts
2166,BUFL,Buchnera breviflora Pennell,N/A
2167,BUBU,Bucida buceras L.,gregorywood
2168,BUMO,Bucida molinetii (G. Maza) Alain,spiny bucida
2169,BUDA2,Buddleja davidii Franch.,orange eye butterflybush
2170,BUGL6,Buddleja globosa Hope,orange-ball-tree
2171,BUUT,Buddleja utahensis Coville,Utah butterflybush
2172,BUAR3,Buglossoides arvensis (L.) I.M. Johnst.,corn gromwell
2173,LIAR4,Lithospermum arvense L.,N/A
2174,BULBO,Bulbostylis,hairsedge
2175,BUCAC,Bulbostylis capillaris (L.) Kunth ex C.B. Clarke ssp. capillaris,densetuft hairsedge
2176,BUAR5,Bulnesia arborea (Jacq.) Engl.,maracaibo lignumvitae
2177,BUGL,Bunchosia glandulosa (Cav.) DC.,cafe forastero
2178,BUER,Bunias erucago L.,crested wartycabbage
2179,BUSA7,Buphthalmum salicifolium L.,ox-eye
2180,BURO,Bupleurum rotundifolium L.,hare's ear
2181,BUBI,Burmannia biflora L.,northern bluethread
2182,BUFL2,Burmannia flava Mart.,Fahkahatchee bluethread
2183,BUFA,Bursera fagaroides (Kunth) Engl.,fragrant bursera
2184,BUMI,Bursera microphylla A. Gray,elephant tree
2185,BUSI,Bursera simaruba (L.) Sarg.,gumbo limbo
2186,BUMO5,Butea monosperma (Lam.) Taubert,Bengal kino
2187,BUCA15,Butia capitata (Mart.) Becc.,South American jelly palm
2188,BUUM,Butomus umbellatus L.,flowering rush
2189,BUHI2,Buttonia hildebrandtii Engl., 
2190,BUAP70,Buxbaumia aphylla Hedw.,buxbaumia moss
2191,BUVI2,Buxbaumia viridis (DC.) Moug. & Nestl.,buxbaumia moss
2192,BUBA6,Buxus balearica Lam., 
2193,BUSE2,Buxus sempervirens L.,common box
2194,BUVA,Buxus vahlii Baill.,Vahl's box
2195,BYLU,Byrsonima lucida (Mill.) DC.,Long Key locustberry
2196,BYSP,Byrsonima spicata (Cav.) Kunth,doncella
2197,BYWA,Byrsonima wadsworthii Little,almendrillo
2198,CACA,Cabomba caroliniana A. Gray,Carolina fanwort
2199,CANA5,Cacaliopsis nardosmia (A. Gray) A. Gray,silvercrown
2200,CAFA4,Cadaba farinosa Forssk.,cadaba
2201,COELO2,Caelogyne,caelogyne
2202,CABO6,Caesalpinia bonduc (L.) Roxb.,yellow nicker
2203,CACR28,Caesalpinia crista auct. non L.,N/A
2204,CACI19,Caesalpinia ciliata (Bergius ex Wikstr.) Urb.,mato
2205,CAME15,Caesalpinia melanosperma (Eggers) Urb.,N/A
2206,CACO28,Caesalpinia coriaria (Jacq.) Willd.,divi divi
2207,CADE15,Caesalpinia decapetala (Roth) Alston,shoofly
2208,CASE15,Biancaea sepiaria (Roxb.) Todaro,N/A
2209,CAGI,Caesalpinia gilliesii (Wall. ex Hook.) Wall. ex D. Dietr.,bird-of-paradise shrub
2210,CAKA5,Caesalpinia kavaiensis H. Mann,uhiuhi
2211,CAME,Caesalpinia mexicana A. Gray,Mexican holdback
2212,CAPA34,Caesalpinia pauciflora (Griseb.) C. Wright ex Sauvalle,fewflower holdback
2213,CAPU13,Caesalpinia pulcherrima (L.) Sw.,pride-of-Barbados
2214,CASA28,Caesalpinia sappan L.,sappanwood
2215,CASP11,Caesalpinia spinosa (Molina) Kuntze,spiny holdback
2216,CACA27,Cajanus cajan (L.) Millsp.,pigeonpea
2217,CAIN44,Cajan cajan (L.) Huth,N/A
2218,CASC33,Cajanus scarabaeoides (L.) Thouars,showy pigeonpea
2219,CAED,Cakile edentula (Bigelow) Hook.,American searocket
2220,CALA2,Cakile lanceolata (Willd.) O.E. Schulz,coastal searocket
2221,CAMA,Cakile maritima Scop.,European searocket
2222,CAAC19,Calamagrostis ×acutiflora (Schrad.) Rchb.,feather reed grass
2223,CABO,Calamagrostis bolanderi Thurb.,Bolander's reedgrass
2224,CABR,Calamagrostis breweri Thurb.,shorthair reedgrass
2225,CACA2,Calamagrostis cainii Hitchc.,Cain's reedgrass
2226,CACA4,Calamagrostis canadensis (Michx.) P. Beauv.,bluejoint
2227,CACAC10,Calamagrostis canadensis (Michx.) P. Beauv. var. canadensis,bluejoint
2228,CACAL3,Calamagrostis canadensis (Michx.) P. Beauv. var. langsdorffii (Link) Inman,bluejoint
2229,CALA3,Calamagrostis canadensis (Michx.) P. Beauv. var. lactea (Beal) C.L. Hitchc.,N/A
2230,CALA43,Calamagrostis canadensis (Michx.) P. Beauv. var. lactea (Beal) C.L. Hitchc.,N/A
2231,CANU6,Calamagrostis canadensis (Michx.) P. Beauv. var. lactea (Beal) C.L. Hitchc.,N/A
