,Symbol,Scientific Name,Common Name
12157,PRCE,Prunus cerasus L.,sour cherry
12158,PRDO,Prunus domestica L.,European plum
12159,PRDOI,Prunus domestica L. var. insititia (L.) Fiori & Paoletti,European plum
12160,PREM,Prunus emarginata (Douglas ex Hook.) D. Dietr.,bitter cherry
12161,PREME,Prunus emarginata (Douglas ex Hook.) D. Dietr. var. emarginata,bitter cherry
12162,PREMM,Prunus emarginata (Douglas ex Hook.) D. Dietr. var. mollis (Douglas ex Hook.) W.H. Brewer,bitter cherry
12163,PRFA,Prunus fasciculata (Torr.) A. Gray,desert almond
12164,PRFAF,Prunus fasciculata (Torr.) A. Gray var. fasciculata,desert almond
12165,PRFR,Prunus fremontii S. Watson,desert apricot
12166,PRFR2,Prunus fruticosa Pall.,European dwarf cherry
12167,PRGL80,Prunus glandulosa Thunb.,flowering almond
12168,PRGR,Prunus gracilis Engelm. & A. Gray,Oklahoma plum
12169,PRHA,Prunus havardii (W. Wight) S.C. Mason,Havard's plum
12170,PRHO,Prunus hortulana L.H. Bailey,hortulan plum
12171,PRIL,Prunus ilicifolia (Nutt. ex Hook. & Arn.) D. Dietr.,hollyleaf cherry
12172,PRJA,Prunus japonica Thunb.,Japanese bush cherry
12173,PRLA5,Prunus laurocerasus L.,cherry laurel
12174,PRLU,Prunus lusitanica L.,Portugal laurel
12175,PRMA9,Prunus maackii Rupr.,Amur chokecherry
12176,PRMA,Prunus mahaleb L.,Mahaleb cherry
12177,PRMA2,Prunus maritima Marsh.,beach plum
12178,PRMAG,Prunus maritima Marsh. var. gravesii (Small) G.J. Anderson,Graves' plum
12179,PRME,Prunus mexicana S. Watson,Mexican plum
12180,PRAML2,Prunus americana Marsh. var. lanata Sudw.,N/A
12181,PRMI2,Prunus minutiflora Engelm.,Texas almond
12182,PRNI,Prunus nigra Aiton,Canadian plum
12183,PRPA5,Prunus padus L.,European bird cherry
12184,PRPE2,Prunus pensylvanica L. f.,pin cherry
12185,PRPE3,Prunus persica (L.) Batsch,peach
12186,PRPU3,Prunus pumila L.,sandcherry
12187,PRPUB,Prunus pumila L. var. besseyi (L.H. Bailey) Gleason,western sandcherry
12188,PRRI,Prunus rivularis Scheele,creek plum
12189,PRRE3,Prunus reverchonii Sarg.,N/A
12190,PRSA3,Prunus salicina Lindl.,Japanese plum
12191,PRSE2,Prunus serotina Ehrh.,black cherry
12192,PRSES,Prunus serotina Ehrh. var. serotina,black cherry
12193,PRSEV,Prunus serotina Ehrh. var. virens (Woot. & Standl.) McVaugh,black cherry
12194,PRSE3,Prunus serrulata Lindl.,Japanese flowering cherry
12195,PRSP,Prunus spinosa L.,blackthorn
12196,PRSU2,Prunus subcordata Benth.,Klamath plum
12197,PRSU4,Prunus subhirtella Miq.,winter-flowering cherry
12198,PRSU3,Prunus susquehanae hort. ex Willd.,Sesquehana sandcherry
12199,PRTE5,Prunus tenella Batsch,dwarf Russian almond
12200,PRTO80,Prunus tomentosa Thunb.,Nanking cherry
12201,PRUM,Prunus umbellata Elliot,hog plum
12202,PRVI,Prunus virginiana L.,chokecherry
12203,PRVID,Prunus virginiana L. var. demissa (Nutt.) Torr.,western chokecherry
12204,PRVIM,Prunus virginiana L. var. melanocarpa (A. Nelson) Sarg.,black chokecherry
12205,PRME2,Padus melanocarpa (A. Nelson) Shafer,N/A
12206,PRVIV,Prunus virginiana L. var. virginiana,chokecherry
12207,PAVI11,Padus nana (Du Roi) M. Roem.,N/A
12208,PSJU3,Psathyrostachys juncea (Fisch.) Nevski,Russian wildrye
12209,PSAN,Psathyrotes annua (Nutt.) A. Gray,annual psathyrotes
12210,PSRA,Psathyrotes ramosissima (Torr.) A. Gray,velvet turtleback
12211,PSUM2,Pseudabutilon umbellatum (L.) Fryxell,umbrella Indian mallow
12212,PSSA2,×Pseudelymus saxicola (Scribn. & J.G. Sm.) Barkworth & D.R. Dewey [Elymus elymoides × Pseudoroegneria spicata],foxtail wheatgrass
12213,PSNI4,Pseudephemerum nitidum (Hedw.) Loeske,pseudephemerum moss
12214,PSBA,Pseudobahia bahiifolia (Benth.) Rydb.,Hartweg's golden sunburst
12215,PSTU70,Pseudocalliergon turgescens (T. Jensen) Loeske,pseudocalliergon moss
12216,PSHO3,Pseudocrossidium hornschuchianum (Schultz) R.H. Zander,Hornschuch's pseudocrossidium moss
12217,PSRE4,Pseudocrossidium revolutum (Brid.) R.H. Zander,pseudocrossidium moss
12218,PSSI4,Pseudocydonia sinensis (Thouin) C.K. Schneid.,Chinese-quince
12219,PSLO3,"Pseudocymopterus longiradiatus Mathias, Constance & W.L. Theobald",Trans-Pecos false mountainparsley
12220,PSMO,Pseudocymopterus montanus (A. Gray) J.M. Coult. & Rose,alpine false springparsley
12221,PSBI3,Pseudognaphalium biolettii Anderb.,two-color rabbit-tobacco
12222,PSCA13,Pseudognaphalium californicum (DC.) Anderb.,ladies' tobacco
12223,PSHE4,Pseudognaphalium helleri (Britton) Anderb.,Heller's cudweed
12224,PSHEH7,Pseudognaphalium helleri (Britton) Anderb. ssp. helleri,Heller's cudweed
12225,PSMA11,Pseudognaphalium macounii (Greene) Kartesz,Macoun's cudweed
12226,PSOB3,Pseudognaphalium obtusifolium (L.) Hilliard & B.L. Burtt,rabbit-tobacco
12227,PSOBO,Pseudognaphalium obtusifolium (L.) Hilliard & B.L. Burtt ssp. obtusifolium,rabbit-tobacco
12228,GNOB,Gnaphalium obtusifolium L.,N/A
12229,PSST7,Pseudognaphalium stramineum (Kunth) Anderb.,cottonbatting plant
12230,PSCH,Pseudogynoxys chenopodioides Kunth,Mexican flamevine
12231,PSKA2,Pseudolarix kaempferi (Lamb.) Gordon,golden larch
12232,PSINI,Pseudoleskea incurvata (Hedw.) Loeske var. incurvata,pseudoleskea moss
12233,PSLO6,Pseudolysimachion longifolium (L.) Opiz,longleaf speedwell
12234,PSLA6,Pseudopanax laetus (Kirk) Philipson,shrub panax
12235,PSSP6,Pseudoroegneria spicata (Pursh) A. Löve,bluebunch wheatgrass
12236,PSSPI,Pseudoroegneria spicata (Pursh) A. Löve ssp. inermis (Scribn. & J.G. Sm.) A. Löve,beardless wheatgrass
12237,PSSPS,Pseudoroegneria spicata (Pursh) A. Löve ssp. spicata,bluebunch wheatgrass
12238,AGSP,Agropyron spicatum Pursh,N/A
12239,ELSP3,Agropyron spicatum Pursh,N/A
12240,PSJA,Pseudosasa japonica (Siebold & Zucc. ex Steud.) Makino ex Nakai,arrow bamboo
12241,PSJA2,Pseudostellaria jamesiana (Torr.) W.A. Weber & R.L. Hartm.,tuber starwort
12242,PSEL3,Pseudotaxiphyllum elegans (Brid.) Z. Iwats.,elegant pseudotaxiphyllum moss
12243,PSEUD7,Pseudotsuga,Douglas-fir
12244,PSMA,Pseudotsuga macrocarpa (Vasey) Mayr,bigcone Douglas-fir
